Teams,Winrate,Years Participated,Blue Banners
1,0.5238,26,0
4,0.4074,17,0
8,0.5625,27,0
11,0.5517,26,0
16,0.7619,26,1
20,0.7333,26,0
21,0.3077,25,0
25,0.6136,26,0
27,0.8587,26,5
28,0.5208,27,0
31,0.375,26,0
33,0.8056,27,4
34,0.3182,26,0
41,0.6385,26,0
45,0.3864,31,0
48,0.4737,25,0
51,0.4417,13,0
56,0.5349,26,0
58,0.5532,27,0
59,0.6132,24,2
60,0.55,26,0
61,0.3421,26,1
63,0.4,26,0
66,0.3333,25,0
67,0.7388,26,1
68,0.3966,25,0
69,0.5806,27,0
70,0.6719,25,0
71,0.375,27,0
74,0.5778,28,0
75,0.5745,26,1
78,0.6136,13,0
79,0.2143,25,0
85,0.65,27,0
86,0.641,25,1
88,0.6582,27,1
93,0.5,26,0
94,0.375,25,0
95,0.7818,26,0
97,0.375,26,0
100,0.4375,26,0
101,0.15,26,0
102,0.4651,25,1
103,0.5612,26,0
107,0.6349,26,1
108,0.4615,28,0
111,0.8936,28,2
112,0.625,6,0
114,0.7015,26,1
115,0.439,25,0
116,0.4524,27,1
117,0.5,25,0
118,0.8125,26,2
120,0.4062,27,0
121,0.5769,27,0
122,0.5109,26,0
123,0.4423,26,0
125,0.7786,25,2
126,0.6064,31,0
128,0.6,25,0
131,0.6538,29,0
133,0.7909,26,1
135,0.425,25,1
138,0.5469,26,0
141,0.4405,28,0
144,0.5769,22,0
145,0.3,25,0
148,0.8067,30,4
151,0.5667,29,0
155,0.587,29,0
156,0.4545,12,0
157,0.4286,29,0
159,0.4,24,0
166,0.4643,28,1
167,0.6071,24,0
171,0.2727,27,0
172,0.5476,25,0
173,0.5417,28,0
175,0.4889,27,0
176,0.9155,27,4
177,0.7687,28,3
178,0.3125,26,0
179,0.8889,25,3
180,0.814,25,1
181,0.4231,25,0
190,0.4,29,0
191,0.5417,31,0
192,0.375,26,0
193,0.5172,10,0
195,0.6769,25,1
199,0.5,8,0
201,0.6311,24,2
203,0.4625,25,0
204,0.3125,24,0
216,0.4455,14,0
217,0.3571,24,0
219,0.4767,24,0
222,0.5778,24,1
223,0.4634,24,0
226,0.4405,24,2
228,0.63,24,0
229,0.35,24,0
230,0.85,24,2
231,0.6304,24,1
233,0.4231,24,0
234,0.5612,24,0
236,0.5625,24,0
237,0.5319,24,0
238,0.8364,23,3
240,0.4314,24,1
244,0.459,12,0
245,0.5645,24,1
246,0.4583,24,0
247,0.4643,24,0
250,0.2,24,0
253,0.4286,24,0
254,0.9018,24,4
263,0.4359,23,0
271,0.5,24,0
272,0.4831,24,0
280,0.3077,24,0
281,0.4231,24,0
287,0.5909,21,0
288,0.6,24,0
291,0.2727,24,0
292,0.6087,24,0
293,0.3256,24,0
294,0.4815,24,0
296,0.4762,24,0
299,0.35,7,0
302,0.5658,24,2
303,0.4118,24,0
308,0.5938,24,0
313,0.4615,24,0
314,0.4828,24,0
316,0.5635,24,1
319,0.6,24,0
321,0.4286,23,0
322,0.4412,24,0
324,0.6667,4,0
325,0.7419,3,0
329,0.8529,24,0
333,0.5595,24,0
334,0.3333,24,0
335,0.15,20,0
340,0.7717,23,2
341,0.6905,23,1
342,0.2727,23,0
343,0.5517,23,0
346,0.34,23,0
348,0.4868,22,0
353,0.3,23,0
354,0.5,23,0
358,0.4167,23,0
359,0.7622,22,3
360,0.6383,23,1
364,0.7846,23,1
365,0.5185,23,0
368,0.6471,21,0
369,0.3077,21,0
378,0.35,23,0
379,0.5185,23,0
384,0.6395,23,2
386,0.725,23,1
395,0.4615,23,0
399,0.4143,23,1
401,0.6455,23,2
418,0.5,23,0
422,0.5244,23,0
423,0.3793,17,0
426,0.5,2,0
433,0.4651,23,1
435,0.4231,23,0
447,0.52,23,0
449,0.6786,22,2
453,0.375,21,0
456,0.3704,23,0
457,0.3875,21,0
461,0.5938,23,1
467,0.4405,23,1
469,0.6552,23,0
484,0.5366,22,0
486,0.425,23,0
488,0.5547,22,0
492,0.6383,22,0
494,0.7721,22,1
496,0.3333,21,0
498,0.5357,22,1
501,0.3077,22,0
503,0.6629,22,1
509,0.3929,15,0
514,0.5192,21,0
525,0.6053,22,1
527,0.5517,21,0
533,0.3846,22,0
537,0.3043,21,0
539,0.3478,22,0
540,0.4,22,0
545,0.3333,23,0
547,0.6,22,0
548,0.3214,22,0
554,0.6429,20,0
555,0.4231,22,0
558,0.4419,22,0
564,0.5,22,0
568,0.5306,22,2
569,0.4167,21,0
571,0.4531,22,0
573,0.5357,21,0
578,0.4643,22,1
581,0.4444,22,0
587,0.5932,22,1
589,0.4138,22,1
597,0.3889,22,0
599,0.5,22,1
601,0.5,11,0
604,0.7946,21,2
606,0.3636,22,0
610,0.6053,21,1
611,0.381,21,0
612,0.4079,22,0
614,0.5854,22,1
617,0.3,21,0
619,0.3958,22,0
620,0.5982,22,1
623,0.6604,22,1
624,0.7985,22,2
639,0.8125,22,0
648,0.2609,22,0
649,0.6222,22,1
662,0.4615,21,0
663,0.5,22,0
668,0.4762,22,0
670,0.5167,20,0
677,0.4737,21,0
686,0.5366,22,0
687,0.3947,22,0
691,0.4423,22,0
694,0.8548,22,2
695,0.5556,22,1
696,0.7326,22,1
698,0.5714,22,0
701,0.5,22,0
702,0.5455,22,0
706,0.5312,22,0
708,0.4318,22,1
709,0.3974,22,0
714,0.4167,22,1
716,0.4375,22,0
743,0.6,21,0
744,0.54,17,0
751,0.5,19,0
753,0.4286,20,1
766,0.4815,21,0
771,0.4667,21,0
772,0.3333,21,1
781,0.4722,21,0
801,0.4762,21,0
806,0.3636,21,0
810,0.4231,21,0
811,0.3462,21,0
812,0.4286,21,0
815,0.4286,21,1
816,0.4,21,0
818,0.5403,21,0
829,0.6855,21,1
830,0.5968,21,0
832,0.5521,21,0
834,0.4896,21,0
836,0.7833,21,3
839,0.3654,21,0
840,0.3958,17,0
841,0.4355,21,0
846,0.6471,21,1
852,0.4259,21,0
857,0.4769,21,1
858,0.5114,21,0
862,0.5303,21,1
865,0.4286,20,0
867,0.3182,20,0
868,0.381,21,0
870,0.871,21,2
871,0.3333,21,0
876,0.6915,21,1
877,0.1,21,0
884,0.3,20,0
888,0.5128,21,1
894,0.6383,21,0
900,0.5882,21,0
904,0.3452,21,0
910,0.5238,21,1
914,0.44,5,0
930,0.6778,21,0
931,0.375,21,0
935,0.4194,21,0
937,0.25,21,0
948,0.3939,21,0
949,0.3889,21,0
955,0.6923,21,0
957,0.5581,20,0
967,0.4091,21,0
968,0.3125,21,0
971,0.7788,21,0
972,0.5238,13,0
973,0.7922,21,2
977,0.3125,14,0
980,0.4318,21,0
981,0.0833,18,0
987,0.7604,21,1
988,0.3,19,0
991,0.5185,21,0
996,0.1818,20,0
997,0.4886,21,0
999,0.3929,21,0
1002,0.3793,20,0
1011,0.4615,20,0
1014,0.3333,20,0
1018,0.4149,20,0
1023,0.6838,20,2
1024,0.6875,20,0
1025,0.5,15,1
1027,0.4556,19,0
1038,0.2143,20,0
1051,0.6333,20,0
1056,0.5926,10,0
1058,0.3448,20,0
1071,0.4576,19,1
1072,0.6154,20,0
1073,0.6186,20,1
1076,0.3182,11,0
1086,0.6071,20,1
1089,0.4912,20,0
1091,0.5217,20,0
1099,0.475,20,0
1100,0.4625,20,0
1102,0.4815,20,0
1108,0.5667,20,0
1111,0.75,20,3
1114,0.7213,20,2
1123,0.4643,20,0
1124,0.4583,19,0
1126,0.3333,20,0
1138,0.4667,20,1
1143,0.4615,19,0
1153,0.6484,20,0
1155,0.4,20,0
1156,0.3333,20,1
1159,0.6364,20,0
1160,0.5769,20,0
1164,0.2857,19,0
1165,0.3478,18,0
1168,0.5,20,0
1178,0.3571,20,0
1188,0.73,19,1
1189,0.6522,20,1
1197,0.5556,20,0
1209,0.3182,20,0
1212,0.2143,20,0
1218,0.661,20,0
1225,0.3824,19,0
1241,0.5846,19,1
1245,0.3077,19,0
1246,0.2778,17,0
1247,0.3846,19,0
1250,0.3846,19,0
1254,0.3333,19,0
1255,0.5488,19,0
1257,0.5233,17,0
1258,0.5,19,1
1259,0.5536,19,0
1261,0.7132,19,1
1262,0.5244,19,0
1266,0.5333,19,0
1277,0.4231,19,0
1279,0.3871,19,0
1280,0.5152,19,1
1287,0.4615,18,0
1288,0.375,19,0
1293,0.5357,19,1
1294,0.5208,19,1
1296,0.4727,19,2
1303,0.4286,19,0
1305,0.5395,19,2
1306,0.5152,19,0
1307,0.3333,19,0
1308,0.4444,19,0
1311,0.5,19,0
1317,0.5455,19,0
1318,0.5,19,0
1322,0.3594,19,0
1323,0.8833,19,3
1325,0.5645,18,0
1329,0.4583,19,0
1332,0.5741,19,0
1334,0.3548,19,0
1339,0.7157,17,1
1350,0.2917,19,0
1351,0.5769,19,0
1359,0.3889,19,1
1360,0.4429,7,0
1374,0.4028,6,1
1388,0.4516,19,0
1389,0.3864,18,0
1391,0.569,19,0
1403,0.6429,19,3
1405,0.6296,19,0
1410,0.5469,19,0
1414,0.6964,19,0
1418,0.5385,19,0
1421,0.7273,19,0
1422,0.1429,12,0
1425,0.5581,19,0
1432,0.5429,19,0
1444,0.5714,19,0
1452,0.4167,15,0
1458,0.5455,19,0
1466,0.2917,19,0
1468,0.6064,19,1
1474,0.4222,19,0
1477,0.7,19,1
1481,0.4464,11,0
1492,0.4643,19,0
1493,0.7679,18,0
1501,0.6731,18,1
1502,0.5317,18,1
1504,0.5192,18,0
1506,0.6825,18,1
1507,0.5,18,0
1511,0.5405,18,1
1512,0.4615,18,0
1515,0.6111,18,0
1518,0.5714,18,0
1522,0.45,17,0
1523,0.5,18,0
1528,0.4583,18,0
1529,0.2963,18,0
1533,0.7302,18,2
1538,0.6744,18,0
1539,0.3636,18,0
1540,0.6735,18,0
1546,0.4286,17,0
1551,0.5714,18,0
1554,0.4,18,0
1555,0.3235,12,0
1557,0.3889,18,0
1559,0.4,18,0
1561,0.5833,18,0
1566,0.3333,18,0
1569,0.5625,18,0
1572,0.5714,18,0
1574,0.5672,18,0
1576,0.3667,18,1
1577,0.8462,18,4
1580,0.4667,16,1
1585,0.1667,16,0
1591,0.5,18,0
1592,0.4286,18,0
1595,0.587,18,0
1596,0.5484,18,0
1599,0.5658,18,0
1601,0.2,17,0
1610,0.5208,17,0
1619,0.9407,18,4
1622,0.3443,18,1
1625,0.4571,18,0
1626,0.6304,18,0
1629,0.7018,18,5
1640,0.7083,18,1
1646,0.4231,18,0
1647,0.2639,18,1
1648,0.4694,18,1
1649,0.1111,17,0
1657,0.5426,18,0
1661,0.4872,17,0
1662,0.3846,18,0
1671,0.4762,18,1
1672,0.4348,18,0
1675,0.56,18,0
1676,0.5878,18,0
1678,0.9014,18,5
1683,0.5698,18,1
1684,0.5859,18,1
1690,0.9,18,3
1699,0.4881,17,0
1700,0.4474,18,0
1701,0.6835,18,1
1706,0.8879,18,3
1708,0.5294,18,0
1710,0.566,17,1
1711,0.5982,16,2
1712,0.3594,17,0
1714,0.3462,17,0
1716,0.2727,16,0
1718,0.6569,17,2
1719,0.4487,17,0
1720,0.4667,17,0
1721,0.4286,17,0
1723,0.3333,17,0
1726,0.5833,17,1
1727,0.4211,12,0
1729,0.375,13,1
1730,0.7358,17,2
1731,0.5849,17,1
1732,0.7969,17,1
1735,0.5,17,0
1736,0.5517,17,0
1739,0.1739,17,0
1740,0.593,17,0
1741,0.5,17,3
1744,0.25,10,0
1745,0.5,17,2
1746,0.5,17,0
1747,0.4872,17,0
1750,0.2143,17,0
1751,0.25,16,0
1756,0.7941,17,2
1757,0.5116,17,0
1758,0.3636,17,0
1759,0.0,17,0
1761,0.3958,17,0
1763,0.4,17,0
1764,0.5714,17,0
1768,0.5306,17,0
1769,0.4722,17,0
1771,0.8841,16,3
1772,0.8462,17,0
1775,0.1429,17,0
1778,0.5,16,0
1781,0.5375,17,0
1785,0.5,17,0
1787,0.75,17,1
1792,0.4839,7,1
1793,0.3462,16,0
1795,0.4231,16,0
1796,0.7174,17,1
1797,0.2222,7,0
1799,0.4615,17,0
1802,0.3571,17,0
1803,0.2917,16,0
1806,0.4615,17,0
1807,0.6813,17,0
1810,0.4375,17,0
1811,0.4667,17,1
1816,0.6579,17,0
1818,0.2727,17,0
1825,0.7586,17,1
1827,0.5714,17,0
1828,0.3235,17,0
1831,0.4231,19,0
1836,0.3333,17,0
1847,0.4,17,0
1860,0.25,17,0
1868,0.4865,17,0
1884,0.4286,17,0
1885,0.6759,17,0
1891,0.5758,17,0
1895,0.4615,16,1
1899,0.5213,17,0
1902,0.3939,17,0
1908,0.5417,17,0
1912,0.3846,17,0
1914,0.619,1,1
1915,0.5,17,0
1918,0.6493,17,1
1922,0.35,17,0
1923,0.619,17,4
1937,0.4242,17,0
1939,0.6064,17,0
1940,0.4286,16,1
1942,0.3704,16,0
1943,0.383,17,1
1954,0.3103,14,0
1965,0.4167,17,0
1967,0.463,17,0
1972,0.5556,16,0
1977,0.6429,16,0
1982,0.5,16,0
1983,0.5645,16,0
1984,0.6316,15,1
1986,0.77,16,2
1987,0.7143,16,2
1989,0.4375,16,0
1991,0.4298,16,0
1994,0.4167,16,0
1997,0.4833,16,0
2001,0.4167,16,0
2010,0.6316,16,0
2013,0.4595,16,0
2016,0.5439,16,1
2022,0.4583,16,0
2027,0.1667,16,0
2028,0.2759,16,0
2035,0.3333,15,0
2036,0.4375,16,0
2039,0.5192,16,0
2040,0.4423,16,0
2046,0.8,16,4
2048,0.5517,14,0
2051,0.3636,16,0
2052,0.7174,16,1
2053,0.2727,16,0
2054,0.6369,16,0
2056,0.8051,16,2
2059,0.4694,12,0
2062,0.537,16,0
2064,0.4615,16,0
2067,0.5161,16,0
2068,0.5278,16,0
2070,0.2708,13,0
2073,0.5111,16,0
2075,0.7687,16,2
2077,0.4167,16,0
2078,0.3636,15,0
2079,0.4038,16,0
2080,0.3382,16,1
2083,0.2083,16,0
2084,0.3793,16,0
2090,0.4706,15,0
2095,0.4778,7,1
2096,0.5172,7,1
2097,0.3,4,0
2102,0.6585,16,0
2106,0.375,16,0
2122,0.8841,16,3
2129,0.3953,16,0
2130,0.3214,16,0
2135,0.6667,16,0
2137,0.4464,16,0
2141,0.3889,15,0
2143,0.4615,16,0
2144,0.3333,14,0
2145,0.4615,16,0
2147,0.6641,16,0
2151,0.4,16,0
2158,0.617,16,0
2161,0.4118,16,0
2165,0.6,16,0
2168,0.7609,16,2
2169,0.48,16,0
2170,0.1667,16,0
2171,0.3542,16,0
2172,0.4231,15,0
2175,0.3158,16,0
2177,0.5789,16,0
2180,0.4773,16,0
2181,0.3,16,0
2183,0.4286,16,0
2186,0.3684,16,1
2190,0.4667,16,0
2191,0.4043,16,0
2194,0.44,16,0
2197,0.375,16,0
2198,0.4531,13,0
2199,0.6176,16,1
2200,0.7589,15,2
2202,0.7556,16,2
2204,0.2727,16,0
2207,0.5455,16,0
2212,0.3922,16,2
2220,0.4306,16,1
2221,0.3636,15,0
2224,0.3929,16,0
2225,0.3,16,0
2227,0.5789,16,0
2228,0.5833,16,1
2230,0.4792,16,0
2231,0.4286,16,0
2234,0.5952,16,0
2239,0.5333,16,0
2240,0.4714,16,0
2246,0.3462,16,0
2252,0.6304,16,0
2262,0.4545,16,0
2264,0.5217,16,0
2265,0.5625,16,0
2283,0.375,16,0
2288,0.3947,1,0
2337,0.7192,15,3
2338,0.7558,15,2
2340,0.25,15,0
2341,0.4741,15,1
2342,0.4043,15,0
2344,0.375,14,0
2345,0.2857,14,0
2347,0.3571,14,0
2357,0.5455,15,0
2358,0.46,15,0
2359,0.3182,15,0
2363,0.9113,15,4
2367,0.35,14,0
2370,0.6304,15,1
2373,0.5333,15,0
2374,0.2679,15,0
2375,0.3333,15,0
2377,0.4583,15,0
2383,0.6417,15,1
2386,0.5714,15,1
2393,0.6774,15,0
2395,0.3636,15,0
2398,0.4167,15,0
2399,0.5556,15,0
2403,0.5556,15,0
2404,0.1667,15,0
2405,0.3913,15,0
2408,0.3333,15,0
2410,0.4,15,0
2412,0.3981,15,2
2415,0.3871,16,0
2421,0.4211,15,0
2423,0.4032,15,0
2425,0.2222,14,0
2429,0.463,15,0
2438,0.4808,15,1
2441,0.4286,14,0
2443,0.7,14,1
2449,0.4615,15,0
2450,0.3409,15,0
2451,0.746,10,0
2457,0.4,15,0
2458,0.5345,15,0
2461,0.3,15,0
2465,0.4286,15,0
2468,0.7071,15,3
2470,0.537,14,0
2471,0.5846,15,2
2472,0.3,15,0
2473,0.4167,15,0
2478,0.622,11,1
2481,0.7424,15,1
2485,0.4074,15,0
2486,0.6613,15,1
2487,0.25,15,0
2489,0.3889,15,0
2491,0.5455,15,0
2495,0.55,15,0
2498,0.3,15,0
2499,0.4444,15,0
2500,0.35,15,0
2501,0.4444,15,0
2502,0.5897,15,1
2503,0.5455,15,0
2506,0.5,15,1
2508,0.4783,15,0
2509,0.6154,15,0
2511,0.3333,14,0
2512,0.4737,15,0
2513,0.25,14,0
2515,0.3,14,0
2518,0.2,14,0
2521,0.5119,14,0
2522,0.5957,15,0
2526,0.5862,15,0
2530,0.6,15,0
2531,0.5811,15,1
2534,0.45,15,0
2537,0.4872,14,0
2538,0.4,14,0
2539,0.7465,15,2
2543,0.5,15,0
2549,0.4615,15,0
2551,0.6364,15,0
2554,0.375,15,0
2556,0.425,15,1
2557,0.5538,15,0
2559,0.4286,15,0
2560,0.5263,15,0
2574,0.5893,15,0
2577,0.5114,15,1
2582,0.6129,15,0
2583,0.4419,15,1
2584,0.5484,10,0
2586,0.5797,15,0
2587,0.3696,15,0
2590,0.7643,15,2
2591,0.4167,15,0
2594,0.4483,15,0
2600,0.44,14,0
2601,0.6579,15,1
2603,0.5,15,0
2604,0.4242,15,0
2606,0.3,14,0
2607,0.5431,15,0
2609,0.6279,13,1
2611,0.627,15,0
2613,0.3571,15,0
2614,0.7941,15,1
2619,0.4333,15,0
2620,0.58,15,0
2626,0.381,14,1
2630,0.549,15,0
2632,0.2222,14,0
2635,0.3,15,1
2637,0.5698,15,0
2638,0.5652,15,1
2640,0.5714,15,0
2641,0.2931,15,0
2642,0.6905,15,2
2643,0.4444,15,0
2648,0.6196,15,1
2654,0.5926,14,0
2655,0.5116,15,0
2656,0.5455,15,0
2658,0.52,15,0
2659,0.5161,14,0
2662,0.3333,15,0
2667,0.381,15,0
2673,0.4821,15,0
2687,0.6385,4,0
2689,0.4884,1,0
2704,0.5,13,0
2706,0.5,7,0
2707,0.2917,6,0
2710,0.475,5,0
2712,0.3269,4,0
2713,0.425,14,0
2714,0.4048,4,0
2718,0.3958,1,0
2720,0.3036,1,0
2722,0.1667,1,0
2723,0.3182,14,0
2733,0.3966,14,0
2767,0.8378,14,3
2771,0.5804,14,1
2773,0.5714,13,0
2783,0.4808,14,0
2785,0.25,13,0
2789,0.3077,14,0
2791,0.6429,14,0
2797,0.2222,14,0
2811,0.5089,14,0
2813,0.5156,15,0
2815,0.6429,14,0
2823,0.5926,14,0
2826,0.3636,14,0
2827,0.1111,14,0
2830,0.5667,14,0
2832,0.5965,14,3
2834,0.5985,14,0
2839,0.4762,14,1
2840,0.375,14,0
2846,0.4762,14,0
2847,0.8,14,0
2848,0.4565,14,0
2849,0.52,14,1
2851,0.5,14,0
2853,0.2857,14,0
2854,0.2955,14,0
2856,0.2727,14,0
2861,0.4167,14,0
2867,0.3654,14,0
2869,0.4625,14,1
2872,0.5,14,1
2875,0.4444,14,0
2876,0.3542,14,0
2877,0.617,14,0
2879,0.6364,14,0
2881,0.6226,14,1
2882,0.35,14,0
2883,0.5227,14,1
2890,0.275,14,0
2895,0.1,14,0
2896,0.2857,13,0
2898,0.4667,10,0
2900,0.3333,14,0
2903,0.4,14,0
2905,0.4118,14,0
2906,0.375,14,0
2907,0.4038,14,0
2910,0.913,14,5
2912,0.5217,14,0
2914,0.4615,14,0
2915,0.45,13,0
2926,0.3929,13,0
2927,0.2917,13,0
2928,0.3864,14,0
2929,0.4,14,0
2930,0.629,14,1
2945,0.5,14,0
2950,0.52,14,0
2957,0.4615,14,0
2959,0.4857,14,1
2960,0.5714,14,0
2961,0.4,14,0
2966,0.5,12,0
2969,0.2692,14,0
2972,0.1667,14,0
2973,0.3571,14,0
2974,0.7615,15,2
2976,0.6818,14,0
2977,0.5,14,0
2978,0.5714,14,0
2980,0.375,14,0
2984,0.4545,14,0
2987,0.5946,14,1
2988,0.48,13,0
2990,0.6452,14,1
2992,0.7083,14,1
2993,0.5714,14,0
2994,0.2727,14,0
2996,0.5185,14,0
2998,0.35,13,0
3003,0.52,14,0
3004,0.3,11,0
3005,0.697,14,1
3006,0.52,14,0
3007,0.45,13,0
3008,0.3939,14,0
3009,0.4423,13,0
3015,0.7258,14,2
3017,0.35,12,0
3018,0.5833,14,0
3019,0.28,14,0
3020,0.6,3,0
3023,0.5385,14,0
3024,0.25,14,0
3026,0.537,14,0
3029,0.4,14,0
3035,0.549,14,0
3037,0.3333,14,0
3038,0.5,14,0
3039,0.5625,14,0
3042,0.4524,14,0
3044,0.4583,14,0
3045,0.2609,14,0
3049,0.3654,13,0
3054,0.4444,14,0
3058,0.44,14,0
3061,0.5833,14,1
3065,0.4018,14,1
3067,0.2857,14,0
3070,0.5323,14,0
3075,0.5952,14,0
3082,0.5294,14,0
3083,0.3837,14,0
3090,0.3636,13,0
3091,0.3667,14,0
3096,0.4107,14,0
3098,0.3846,14,0
3100,0.4318,14,0
3102,0.4583,14,0
3103,0.42,14,0
3110,0.15,13,0
3117,0.3636,14,0
3122,0.5556,14,0
3128,0.6154,13,1
3130,0.5938,13,0
3131,0.3333,12,0
3132,0.7222,13,0
3134,0.5,9,0
3136,0.5,13,1
3137,0.6562,12,0
3140,0.3478,13,0
